Date,Open,High,Low,Close,Volume,MarCap,매도_금융투자,매수_금융투자,순매수_금융투자,매도_보험,매수_보험,순매수_보험,매도_투신,매수_투신,순매수_투신,매도_사모,매수_사모,순매수_사모,매도_은행,매수_은행,순매수_은행,매도_기타금융,매수_기타금융,순매수_기타금융,매도_연기금 등,매수_연기금 등,순매수_연기금 등,매도_기관합계,매수_기관합계,순매수_기관합계,매도_기타법인,매수_기타법인,순매수_기타법인,매도_개인,매수_개인,순매수_개인,매도_외국인,매수_외국인,순매수_외국인,매도_기타외국인,매수_기타외국인,순매수_기타외국인,매도_전체,매수_전체,순매수_전체,kalman_ma,target,r
2016-06-17,1966.23,1970.54,1949.6,1953.4,485269121,1238327356370601,4021809,5903880,1882071,1478636,1355488,-123148,3633833,3162021,-471812,1745392,1478689,-266703,843060,561444,-281616,235515,99070,-136445,4695709,3830768,-864941,16653954,16391360,-262594,1794727,2759210,964483,430668925,425655013,-5013912,35136971,39535953,4398982,1014544,927585,-86959,485269121,485269121,0,1978.8524026097732,1.0,0.0007220790042809579
2016-06-20,1974.43,1984.07,1969.56,1981.12,391345388,1255559309195996,5256749,4307415,-949334,2013489,1351283,-662206,2845374,3271343,425969,1007829,2044185,1036356,927502,287398,-640104,91905,181321,89416,3729834,3470123,-259711,15872682,14913068,-959614,2419933,2378539,-41394,344836760,338672725,-6164035,27529632,34779550,7249918,686381,601506,-84875,391345388,391345388,0,1979.0681076345836,-1.0,0.014090897317490613
2016-06-21,1977.8,1983.87,1971.99,1982.7,557437223,1256919868733404,4652183,3849783,-802400,1880228,1152194,-728034,2759944,3070293,310349,973684,1217514,243830,1550696,282343,-1268353,206887,133111,-73776,4322529,3535375,-787154,16346151,13240613,-3105538,2079742,2439261,359519,501224655,512102678,10878023,36901642,28789190,-8112452,885033,865481,-19552,557437223,557437223,0,1979.4135911124563,-1.0,0.0007972108136495367
2016-06-22,1981.78,1994.76,1979.37,1992.58,407434879,1263208699984906,4807358,5399293,591935,2842660,1982766,-859894,3228540,3410029,181489,1017205,1302134,284929,849148,698007,-151141,215737,338763,123026,4440076,5460796,1020720,17400724,18591788,1191064,2391066,2349275,-41791,359190972,351198864,-7992108,27864932,34691744,6826812,587185,603208,16023,407434879,407434879,0,1980.666044730542,-1.0,0.0049707292784582705
2016-06-23,1989.42,1990.71,1980.14,1986.71,455389704,1259087310303523,3935566,5497141,1561575,2191961,1308420,-883541,2596088,2735160,139072,641862,1047946,406084,615947,162172,-453775,153419,91389,-62030,3124495,3850268,725773,13259338,14692496,1433158,1899081,2110297,211216,407659409,405587844,-2071565,31910359,32409235,498876,661517,589832,-71685,455389704,455389704,0,1981.2409755039544,-1.0,-0.0029502771890323664
2016-06-24,2001.55,2001.55,1892.75,1925.24,750546035,1221280861915368,28526813,11377093,-17149720,4163646,2223354,-1940292,5165335,6421590,1256255,3317636,2233416,-1084220,1482575,543353,-939222,873190,17413557,16540367,5335748,6406799,1071051,48864943,46619162,-2245781,2820348,3473278,652930,600566237,597184210,-3382027,97318427,102095444,4777017,976080,1173941,197861,750546035,750546035,0,1975.9138870787565,-1.0,-0.03142936895870514
2016-06-27,1901.85,1926.87,1900.83,1926.85,394266221,1222271045645702,5876373,9927423,4051050,2567214,1795345,-771869,3263461,5260408,1996947,4705382,2154662,-2550720,484485,241316,-243169,274426,464331,189905,6931017,4878336,-2052681,24102358,24721821,619463,2819127,2531513,-287614,323415188,318333466,-5081722,43301020,48211445,4910425,628528,467976,-160552,394266221,394266221,0,1971.246688648722,1.0,0.0008359099054011565
2016-06-28,1907.71,1937.99,1907.49,1936.22,373459498,1227810137092931,4660884,5197862,536978,2467700,1693292,-774408,3225958,5098785,1872827,1221655,1227642,5987,147421,439891,292470,407601,144844,-262757,4748981,4042224,-706757,16880200,17844540,964340,2347105,2534727,187622,311579556,323379345,11799789,41826653,29033325,-12793328,825984,667561,-158423,373459498,373459498,0,1967.9147776240573,1.0,0.004851073563397618
2016-06-29,1946.31,1966.21,1941.9,1956.36,451186065,1240335078955904,6458507,4282717,-2175790,2258947,1749420,-509527,3008256,3286024,277768,908831,1081206,172375,260360,184973,-75387,142083,160690,18607,4697086,4177230,-519856,17734070,14922260,-2811810,2833998,2540757,-293241,395725455,403520807,7795352,33965549,29298817,-4666732,926993,903424,-23569,451186065,451186065,0,1966.8156303041592,1.0,0.010347984995526954
2016-06-30,1971.54,1972.81,1959.28,1970.35,349862539,1250198141816260,7746921,3869393,-3877528,1631033,1507811,-123222,3654888,3567498,-87390,869215,1092359,223144,196135,441940,245805,174691,196920,22229,3947380,3855573,-91807,18220263,14531494,-3688769,3766120,1432566,-2333554,296850606,299026059,2175453,30246310,33925960,3679650,779240,946460,167220,349862539,349862539,0,1967.151836945698,1.0,0.007125588186537636
